X,Y,INTERSECTIONID,ROUTEID,MEASURE,INTERSECTIONNAME,GRADE,INTERSECTIONKEY,ACISA,SE_ANNO_CAD_DATA,OBJECTID
-8576282.09765322,4708950.47487886,11064222_11072862,11072862,2692.84301758,Q ST NW & NEW HAMPSHIRE AVE NW,13,3c46fb8fb47b1b636451456b821e2a5b,1099a,,4373666
-8579240.51895105,4708084.68024096,11057852_11097832,11097832,0,FRANCIS SCOTT KEY BRG NW & M ST NW,13,5c1f6c179e15f24d76894e4c706eb488,6092,,4373674
-8575886.31742977,4708492.31878186,11001702_11059602,11001702,2134.14404297,17TH ST NW & MASSACHUSETTS AVE NW,13,4bcb9541b6841f927ec73834c576a1bf,1075,,4373675
-8579896.67331819,4716387.31746406,11025152_11056292,11025152,7558.36523438,CONNECTICUT AVE NW & LIVINGSTON ST NW,13,bf574bdf59b1b3e2dc74b2f2a7027079,6071,,4373687
-8574610.73487916,4707549.51499871,11001102_11047772*1,11047772,1355.5949707,I ST NW & 11TH ST NW,13,0dc7bc87f246b4c9a7eb748a4685d468,2106a,,4373704
-8576237.99703599,4709788.41965297,11001802_11087232_11089632,11087232,2438.26806641,U ST NW & 18TH ST NW & VERNON ST NW,13,702278c3d81363d67e1fece44d997e15,1101a,,4373730
-8576385.23497934,4708809.45116291,11031202_11064222*1,11031202,185.61399841,DUPONT CIR NW & NEW HAMPSHIRE AVE NW,13,47f02b12269a6e599a4da3afc1ac8996,1195e,,4373735
-8576598.13199467,4708394.90778178,11002002_11063182,11002002,1575.67004395,20TH ST NW & N ST NW,13,295cd25af47de534ab6ade1a2f81440d,1254,,4373741
-8568191.69842716,4701813.47656651,13002502_13040752,13040752,2125.72705078,GOOD HOPE RD SE & 25TH ST SE,13,e927273aab973ba203c1f43cbd1fce7f,4117,,4373766
-8573816.97001983,4705361.96346271,14000602_14019822,14019822,809.7119751,C ST SW & 6TH ST SW,13,4c383142c64e3f4d20131f9682c39572,1198,,4373790
-8579748.32569351,4711104.44737908,11038412_11094052,11038412,960.79699707,FULTON ST NW & WISCONSIN AVE NW,13,6899807641bdaef4658a98cfa6da32bc,6280,,4373802
-8569997.51598631,4710873.22007203,12001402_12033932_12061552_12075462,12001402,1969.41601563,14TH ST NE & EVARTS ST NE & MONTANA AVE NE & RHODE ISLAND AVE NE,13,e511c5e4fa25ee17665736f480b74a5a,3189,,4373803
-8571374.69119205,4699396.89577326,13059452_13074292_13074552,13074292,0,RALEIGH PL SE & MARTIN LUTHER KING JR AVE SE & RANDLE PL SE,13,31e9b5fc1626d772f81f58034136f6ea,4126,,4373845
-8574906.56592765,4716160.29422676,11001302_11061362,11061362,1932.68505859,MISSOURI AVE NW & 13TH ST NW,13,07fa98248237612578a0d6e03584e3cb,5045,,4373860
-8576438.97727238,4707701.95957099,11001902_21050891,11001902,1143.45996094,19TH ST NW & K ST NW Service Rd,13,70063ec7e17bb27c38d1ac8a5470d181,1111,,4373878
-8569459.61974974,4705583.60855562,13001702_13047972,13001702,245.39399719,17TH ST SE & INDEPENDENCE AVE SE,13,b79ff0bb5e94e6943567f19f6e79be43,4052,,4373882
-8576549.14941898,4708950.7512067,11072862_21025151,21025151,206.34599304,CONNECTICUT AVE NW Service Rd & Q ST NW,13,f62106aebf9ae797473afeafd61f25bf,1130a,,4373883
-8573816.34906155,4709162.02540959,11000602_11074162,11000602,2279.24389648,6TH ST NW & R ST NW,13,8308fb3f3766d29238855a14035fd968,3019a,,4373891
-8573038.46121143,4707387.24617111,11042442_11064282,11064282,936.33398438,NEW JERSEY AVE NW & H ST NW,13,19e79ec7ea8098958d454e828e6bf4ae,2152,,4373894
-8575992.30402911,4707550.33187087,11001702_11047772,11001702,1272.3470459,17TH ST NW & I ST NW,13,c92445aa1ee6ecd6ed173f387c12b949,1070,,4373901
-8573707.97623251,4707547.74465719,11000502_11047772,11000502,723.74499512,5TH ST NW & I ST NW,13,309823f2ea8ca3c9a7d9cc106e1d00ce,2035a,,4373905
-8569621.62264339,4705583.70594516,13001602_13047972,13001602,245.31500244,16TH ST SE & INDEPENDENCE AVE SE,13,afff4a2c58b6ae42913dccac87295456,1393,,4373912
-8572260.55892223,4706066.94690405,12000102_12059472,12000102,128.46200562,1ST ST NE & MARYLAND AVE NE,13,9accc48d2aa25a236ea76efe7224a8fb,2163,,4373925
-8573816.66491736,4704961.47712252,14000602_14031332_36001862_36003842,14031332,749.05102539,E ST SW & Ramp-36001862 & Ramp-36003842 & 6TH ST SW,13,0dec0a307e13d998d73d431f305d20df,1200,,4373935
-8574898.4825539,4709790.461764,11001302_11087232,11087232,1394.59594727,U ST NW & 13TH ST NW,13,858785edc3bdf93450bc347a9ba5f443,2146,,4373939
-8575198.48248802,4711007.03419192,11001402_11040432*1,11001402,3918.66088867,14TH ST NW & GIRARD ST NW,13,680a387e0d7c74dde4ab18bb2d672e8e,5061a,,4373940
-8567372.93296754,4704184.9395294,13061162_13074492,13074492,295.39099121,RANDLE CIR SE & MINNESOTA AVE SE,13,90f41b0c581ffa84db58e947e08a7f6f,4137a,,4373941
-8568146.67082976,4703465.95315102,13002702_13069812,13069812,3423.81103516,PENNSYLVANIA AVE SE & 27TH ST SE,13,96cc274acba5726e1663fdeedddfd576,4140,,4373942
-8572609.22784357,4704701.22061869,15081252_36002222,15081252,684.77600098,SOUTH CAPITOL ST BN & Ramp-36002222,13,b7d9eca0c778c8aa343af9f8bfc939c4,2222,,4373943
-8574898.45488107,4708950.29088616,11001302_11072862,11072862,1614.81604004,Q ST NW & 13TH ST NW,13,469f493fd7200f0c81f1b71f8516598c,2142,,4373973
-8570779.60810348,4712002.58387024,12001002_12061422,12061422,449.875,MONROE ST NE & 10TH ST NE,13,e5e572afc3d44cb645b0a5d71ebd1a57,3168,,4373974
-8575278.04176084,4705946.89177307,11001502_11058242,11058242,1552.96594238,MADISON DR NW & 15TH ST NW,13,97202e7111006aed7957456c4be302d7,1243,,4373975
